style;filename;artist;title;year;encrypted_name
Baroque;rembrandt_bust-of-an-old-woman-rembrandt-s-mother-1628.jpg;Rembrandt;Bust Of An Old Woman Rembrandt S Mother;1628.0;image00016.jpg
Baroque;anthony-van-dyck_lucas-vorsterman.jpg;Anthony Van Dyck;Lucas Vorsterman;;image00017.jpg
Baroque;rembrandt_jacob-caressing-benjamin-1637.jpg;Rembrandt;Jacob Caressing Benjamin;1637.0;image00018.jpg
Baroque;bartolome-esteban-murillo_the-good-shepherd-child.jpg;Bartolome Esteban Murillo;The Good Shepherd Child;;image00019.jpg
Baroque;peter-paul-rubens_diana-and-callisto.jpg;Peter Paul Rubens;Diana And Callisto;;image00020.jpg
Early_Renaissance;domenico-ghirlandaio_st-jerome-1480.jpg;Domenico Ghirlandaio;St Jerome;1480.0;image00021.jpg
Early_Renaissance;jacopo-bellini_dormition-of-the-virgin.jpg;Jacopo Bellini;Dormition Of The Virgin;;image00022.jpg
Early_Renaissance;andrea-mantegna_the-flagellation-of-christ-in-the-pavement-1475.jpg;Andrea Mantegna;The Flagellation Of Christ In The Pavement;1475.0;image00023.jpg
Early_Renaissance;leonardo-da-vinci_head-of-an-old-man.jpg;Leonardo Da Vinci;Head Of An Old Man;;image00024.jpg
Early_Renaissance;carlo-crivelli_triptych-of-camerino-1482.jpg;Carlo Crivelli;Triptych Of Camerino;1482.0;image00025.jpg
Early_Renaissance;domenico-ghirlandaio_st-john-the-evangelist-on-the-island-of-patmos-1485.jpg;Domenico Ghirlandaio;St John The Evangelist On The Island Of Patmos;1485.0;image00026.jpg
Early_Renaissance;sandro-botticelli_the-madonna-and-child-with-the-infant-saint-john-the-baptist(1).jpg;Sandro Botticelli;The Madonna And Child With The Infant Saint John The Baptist;;image00027.jpg
Early_Renaissance;masaccio_portrait-of-a-young-woman-1425.jpg;Masaccio;Portrait Of A Young Woman;1425.0;image00028.jpg
Early_Renaissance;antonello-da-messina_st-jerome-in-his-study.jpg;Antonello Da Messina;St Jerome In His Study;;image00029.jpg
Early_Renaissance;filippo-lippi_portrait-of-a-woman-1440.jpg;Filippo Lippi;Portrait Of A Woman;1440.0;image00030.jpg
Early_Renaissance;domenico-ghirlandaio_angel-appearing-to-zacharias-1490.jpg;Domenico Ghirlandaio;Angel Appearing To Zacharias;1490.0;image00031.jpg
Early_Renaissance;benozzo-gozzoli_st-augustine-departing-for-milan-detail-1465.jpg;Benozzo Gozzoli;St Augustine Departing For Milan Detail;1465.0;image00032.jpg
Early_Renaissance;filippo-lippi_meeting-of-joachim-and-anne-at-the-golden-gate.jpg;Filippo Lippi;Meeting Of Joachim And Anne At The Golden Gate;;image00033.jpg
Early_Renaissance;andrea-mantegna_scenes-from-the-life-of-st-christopher-1448-2.jpg;Andrea Mantegna;Scenes From The Life Of St Christopher;1448.0;image00034.jpg
Early_Renaissance;sandro-botticelli_giuliano-de-medici-1478(1).jpg;Sandro Botticelli;Giuliano De Medici;1478.0;image00035.jpg
Early_Renaissance;antonello-da-messina_madonna-and-child-salting-madonna.jpg;Antonello Da Messina;Madonna And Child Salting Madonna;;image00036.jpg
Early_Renaissance;fra-angelico_saint-cosmas-and-saint-damian-condamned-1440.jpg;Fra Angelico;Saint Cosmas And Saint Damian Condamned;1440.0;image00037.jpg
Early_Renaissance;carlo-crivelli_saint-john-the-evangelist.jpg;Carlo Crivelli;Saint John The Evangelist;;image00038.jpg
Early_Renaissance;filippo-lippi_the-vision-of-st-augustine-1465.jpg;Filippo Lippi;The Vision Of St Augustine;1465.0;image00039.jpg
Early_Renaissance;antonello-da-messina_polyptych-with-st-gregory-1473.jpg;Antonello Da Messina;Polyptych With St Gregory;1473.0;image00040.jpg
High_Renaissance;andrea-mantegna_soldiers.jpg;Andrea Mantegna;Soldiers;;image00041.jpg
High_Renaissance;michelangelo_nude-woman-on-her-knees.jpg;Michelangelo;Nude Woman On Her Knees;;image00042.jpg
High_Renaissance;leonardo-da-vinci_head-of-st-john-the-evangelist.jpg;Leonardo Da Vinci;Head Of St John The Evangelist;;image00043.jpg
High_Renaissance;andrea-mantegna_saint-jerome-reading-with-the-lion-1500.jpg;Andrea Mantegna;Saint Jerome Reading With The Lion;1500.0;image00044.jpg
High_Renaissance;michelangelo_annunciation-study-1547.jpg;Michelangelo;Annunciation Study;1547.0;image00045.jpg
High_Renaissance;titian_the-tribute-money-1516.jpg;Titian;The Tribute Money;1516.0;image00046.jpg
High_Renaissance;pietro-perugino_combat-of-love-and-chastity-1505.jpg;Pietro Perugino;Combat Of Love And Chastity;1505.0;image00047.jpg
High_Renaissance;giorgione_arithmetic-1510(2).jpg;Giorgione;Arithmetic;1510.0;image00048.jpg
High_Renaissance;luca-signorelli_the-last-judgment-the-right-part-of-the-composition-the-damned-consigned-to-hell-1502.jpg;Luca Signorelli;The Last Judgment The Right Part Of The Composition The Damned Consigned To Hell;1502.0;image00049.jpg
High_Renaissance;vittore-carpaccio_portrait-of-a-young-woman.jpg;Vittore Carpaccio;Portrait Of A Young Woman;;image00050.jpg
High_Renaissance;raphael_st-margaret-1518.jpg;Raphael;St Margaret;1518.0;image00051.jpg
High_Renaissance;raphael_justice-from-the-stanza-della-segnatura-1511.jpg;Raphael;Justice From The Stanza Della Segnatura;1511.0;image00052.jpg
High_Renaissance;andrea-del-sarto_stories-of-joseph-1.jpg;Andrea Del Sarto;Stories Of Joseph;;image00053.jpg
High_Renaissance;andrea-del-sarto_the-miracle-of-the-relics-of-san-filippo-from-the-life-of-san-filippo-benizzi.jpg;Andrea Del Sarto;The Miracle Of The Relics Of San Filippo From The Life Of San Filippo Benizzi;;image00054.jpg
High_Renaissance;pietro-perugino_altarpiece-of-st-augustine-adoration-of-the-shepherds-detail-altarpiece-of-st-augustine-1510.jpg;Pietro Perugino;Altarpiece Of St Augustine Adoration Of The Shepherds Detail Altarpiece Of St Augustine;1510.0;image00055.jpg
High_Renaissance;vittore-carpaccio_presentation-in-the-temple-1510.jpg;Vittore Carpaccio;Presentation In The Temple;1510.0;image00056.jpg
High_Renaissance;leonardo-da-vinci_study-of-horses-1.jpg;Leonardo Da Vinci;Study Of Horses;;image00057.jpg
High_Renaissance;giovanni-bellini_the-feast-of-the-gods-1514.jpg;Giovanni Bellini;The Feast Of The Gods;1514.0;image00058.jpg
High_Renaissance;titian_portrait-of-ippolito-de-medici-in-a-hungarian-costume-1533.jpg;Titian;Portrait Of Ippolito De Medici In A Hungarian Costume;1533.0;image00059.jpg
High_Renaissance;giorgione_portrait-of-a-young-woman-laura-1506.jpg;Giorgione;Portrait Of A Young Woman Laura;1506.0;image00060.jpg
Mannerism_Late_Renaissance;giuseppe-arcimboldo_the-lawyer-1566(1).jpg;Giuseppe Arcimboldo;The Lawyer;1566.0;image00061.jpg
Mannerism_Late_Renaissance;paolo-veronese_st-jerome.jpg;Paolo Veronese;St Jerome;;image00062.jpg
Mannerism_Late_Renaissance;agnolo-bronzino_venus-cupido-and-satyr.jpg;Agnolo Bronzino;Venus Cupido And Satyr;;image00063.jpg
Mannerism_Late_Renaissance;paolo-veronese_jesus-among-the-doctors-1558.jpg;Paolo Veronese;Jesus Among The Doctors;1558.0;image00064.jpg
Mannerism_Late_Renaissance;titian_st-jerome-1560.jpg;Titian;St Jerome;1560.0;image00065.jpg
Mannerism_Late_Renaissance;paolo-veronese_saint-barnabas-healing-the-sick-1566.jpg;Paolo Veronese;Saint Barnabas Healing The Sick;1566.0;image00066.jpg
Mannerism_Late_Renaissance;paolo-veronese_girl-in-the-doorway-1561.jpg;Paolo Veronese;Girl In The Doorway;1561.0;image00067.jpg
Mannerism_Late_Renaissance;jacopo-pontormo_portrait-of-a-goldsmith.jpg;Jacopo Pontormo;Portrait Of A Goldsmith;;image00068.jpg
Mannerism_Late_Renaissance;parmigianino_helmet-shaped-like-lion.jpg;Parmigianino;Helmet Shaped Like Lion;;image00069.jpg
Mannerism_Late_Renaissance;el-greco_st-john-the-evangelist.jpg;El Greco;St John The Evangelist;;image00070.jpg
Mannerism_Late_Renaissance;correggio_leda-and-the-swan-1532.jpg;Correggio;Leda And The Swan;1532.0;image00071.jpg
Mannerism_Late_Renaissance;paolo-veronese_adoration-of-the-shepherds.jpg;Paolo Veronese;Adoration Of The Shepherds;;image00072.jpg
Mannerism_Late_Renaissance;gregorio-lopes_adora-o-dos-pastores-1544.jpg;Gregorio Lopes;Adora O Dos Pastores;1544.0;image00073.jpg
Mannerism_Late_Renaissance;el-greco_christ-on-the-cross-with-two-maries-and-st-john-1588.jpg;El Greco;Christ On The Cross With Two Maries And St John;1588.0;image00074.jpg
Mannerism_Late_Renaissance;hans-von-aachen_allegory-of-peace-art-and-abundance-1602.jpg;Hans Von Aachen;Allegory Of Peace Art And Abundance;1602.0;image00075.jpg
Mannerism_Late_Renaissance;tintoretto_birth-of-st-john-the-baptist.jpg;Tintoretto;Birth Of St John The Baptist;;image00076.jpg
Mannerism_Late_Renaissance;el-greco_st-james-the-less.jpg;El Greco;St James The Less;;image00077.jpg
Mannerism_Late_Renaissance;tintoretto_portrait-of-procurator-antonio-cappello.jpg;Tintoretto;Portrait Of Procurator Antonio Cappello;;image00078.jpg
Mannerism_Late_Renaissance;titian_pieta-1576.jpg;Titian;Pieta;1576.0;image00079.jpg
Mannerism_Late_Renaissance;tintoretto_the-last-judgment-1562.jpg;Tintoretto;The Last Judgment;1562.0;image00080.jpg
Northern_Renaissance;albrecht-altdorfer_the-battle-of-issus-fragment-1529-2.jpg;Albrecht Altdorfer;The Battle Of Issus Fragment;1529.0;image00081.jpg
Northern_Renaissance;albrecht-durer_arrest-of-christ-1.jpg;Albrecht Durer;Arrest Of Christ;;image00082.jpg
Northern_Renaissance;joachim-wtewael_kitchen-scene-1605.jpg;Joachim Wtewael;Kitchen Scene;1605.0;image00083.jpg
Northern_Renaissance;lucas-cranach-the-elder_lamentation-1538.jpg;Lucas Cranach The Elder;Lamentation;1538.0;image00084.jpg
Northern_Renaissance;pieter-bruegel-the-elder_seascape-with-a-view-of-antwerp.jpg;Pieter Bruegel The Elder;Seascape With A View Of Antwerp;;image00085.jpg
Northern_Renaissance;hans-holbein-the-younger_portrait-of-mary-wotton-lady-guildenford-1527.jpg;Hans Holbein The Younger;Portrait Of Mary Wotton Lady Guildenford;1527.0;image00086.jpg
Northern_Renaissance;hans-holbein-the-younger_mrs-pemberton.jpg;Hans Holbein The Younger;Mrs Pemberton;;image00087.jpg
Northern_Renaissance;hieronymus-bosch_hermit-saints-triptych-right-panel.jpg;Hieronymus Bosch;Hermit Saints Triptych Right Panel;;image00088.jpg
Northern_Renaissance;hieronymus-bosch_allegory-of-gluttony-and-lust-1500.jpg;Hieronymus Bosch;Allegory Of Gluttony And Lust;1500.0;image00089.jpg
Northern_Renaissance;albrecht-durer_sylvan-men-with-heraldic-shields-1499.jpg;Albrecht Durer;Sylvan Men With Heraldic Shields;1499.0;image00090.jpg
Northern_Renaissance;albrecht-durer_portrait-of-lucas-cranach-the-elder.jpg;Albrecht Durer;Portrait Of Lucas Cranach The Elder;;image00091.jpg
Northern_Renaissance;hieronymus-bosch_triptych-of-temptation-of-st-anthony-1506-2.jpg;Hieronymus Bosch;Triptych Of Temptation Of St Anthony;1506.0;image00092.jpg
Northern_Renaissance;albrecht-durer_pattern-from-the-series-of-six-knots-1507.jpg;Albrecht Durer;Pattern From The Series Of Six Knots;1507.0;image00093.jpg
Northern_Renaissance;hans-memling_hell.jpg;Hans Memling;Hell;;image00094.jpg
Northern_Renaissance;albrecht-durer_flagellation.jpg;Albrecht Durer;Flagellation;;image00095.jpg
Northern_Renaissance;albrecht-durer_the-dead-christ-with-the-crown-of-thorns.jpg;Albrecht Durer;The Dead Christ With The Crown Of Thorns;;image00096.jpg
Northern_Renaissance;jean-hey_the-dauphin-charles-orlant-1494.jpg;Jean Hey;The Dauphin Charles Orlant;1494.0;image00097.jpg
Northern_Renaissance;joachim-wtewael_cephalus-and-procris-the-death-of-procris-1600.jpg;Joachim Wtewael;Cephalus And Procris The Death Of Procris;1600.0;image00098.jpg
Northern_Renaissance;mabuse_venus-and-the-mirror.jpg;Mabuse;Venus And The Mirror;;image00099.jpg
Northern_Renaissance;gerard-david_altar-of-archangel-michael-1.jpg;Gerard David;Altar Of Archangel Michael;;image00100.jpg
Rococo;dmitry-levitzky_alexander-i-as-a-child-1787.jpg;Dmitry Levitzky;Alexander I As A Child;1787.0;image00101.jpg
Rococo;antoine-watteau_the-halt-during-the-chase.jpg;Antoine Watteau;The Halt During The Chase;;image00102.jpg
Rococo;louise-elisabeth-vigee-le-brun_german-opera-singer-elisabeth-mara.jpg;Louise Elisabeth Vigee Le Brun;German Opera Singer Elisabeth Mara;;image00103.jpg
Rococo;maurice-quentin-de-la-tour_the-marshal-de-belle-isle.jpg;Maurice Quentin De La Tour;The Marshal De Belle Isle;;image00104.jpg
Rococo;thomas-gainsborough_homecoming.jpg;Thomas Gainsborough;Homecoming;;image00105.jpg
Rococo;giovanni-domenico-tiepolo_preaching-of-john-the-baptist.jpg;Giovanni Domenico Tiepolo;Preaching Of John The Baptist;;image00106.jpg
Rococo;carl-ludwig-johann-christineck_portrait-of-count-orlov-chesmensky-1779.jpg;Carl Ludwig Johann Christineck;Portrait Of Count Orlov Chesmensky;1779.0;image00107.jpg
Rococo;bernardo-bellotto_the-imperial-summer-residence-courtyard-1758.jpg;Bernardo Bellotto;The Imperial Summer Residence Courtyard;1758.0;image00108.jpg
Rococo;william-hogarth_the-enraged-musician-1741.jpg;William Hogarth;The Enraged Musician;1741.0;image00109.jpg
Rococo;vladimir-borovikovsky_portrait-of-a-and-v-gagarin-1802.jpg;Vladimir Borovikovsky;Portrait Of A And V Gagarin;1802.0;image00110.jpg
Rococo;maurice-quentin-de-la-tour_antoine-gaspard-grimold-de-la-reyniere.jpg;Maurice Quentin De La Tour;Antoine Gaspard Grimold De La Reyniere;;image00111.jpg
Rococo;thomas-gainsborough_landscape-with-cattle.jpg;Thomas Gainsborough;Landscape With Cattle;;image00112.jpg
Rococo;joshua-reynolds_mrs-joseph-martin-and-her-son-charles-1760.jpg;Joshua Reynolds;Mrs Joseph Martin And Her Son Charles;1760.0;image00113.jpg
Rococo;jean-baptiste-simeon-chardin_still-life-of-cooking-utensils-cauldron-frying-pan-and-eggs.jpg;Jean Baptiste Simeon Chardin;Still Life Of Cooking Utensils Cauldron Frying Pan And Eggs;;image00114.jpg
Rococo;antoine-watteau_gilles.jpg;Antoine Watteau;Gilles;;image00115.jpg
Rococo;thomas-gainsborough_benjamin-truman.jpg;Thomas Gainsborough;Benjamin Truman;;image00116.jpg
Rococo;dmitry-levitzky_russian-general-mikhail-krechetnikov-1778.jpg;Dmitry Levitzky;Russian General Mikhail Krechetnikov;1778.0;image00117.jpg
Rococo;allan-ramsay_nude-study-of-a-striding-man-with-stone-sling.jpg;Allan Ramsay;Nude Study Of A Striding Man With Stone Sling;;image00118.jpg
Rococo;john-russell_anthony-knowles-1801.jpg;John Russell;Anthony Knowles;1801.0;image00119.jpg
Rococo;dmitry-levitzky_princess-vorontsova-dashkova-1784.jpg;Dmitry Levitzky;Princess Vorontsova Dashkova;1784.0;image00120.jpg
